tweet_id,favorite_count,retweet_count
671518598289059840,974,303
671520732782923777,1445,557
671528761649688577,865,272
671533943490011136,1057,604
671536543010570240,1214,429
671538301157904385,950,415
671542985629241344,1126,594
671544874165002241,2059,1100
671547767500775424,1395,627
671550332464455680,942,217
671561002136281088,13261,7610
671729906628341761,8802,4582
671735591348891648,1490,790
671743150407421952,760,239
671744970634719232,1389,806
671763349865160704,1741,971
671768281401958400,1235,549
671789708968640512,7296,3663
671855973984772097,944,477
671866342182637568,1162,525
671874878652489728,1288,580
671879137494245376,1471,725
671882082306625538,3575,1444
671891728106971137,1368,590
671896809300709376,8730,4357
672068090318987265,1338,541
672082170312290304,968,384
672095186491711488,1029,385
672125275208069120,2477,1201
672139350159835138,1800,755
672160042234327040,899,379
672169685991993344,1051,388
672205392827572224,2333,1214
672222792075620352,808,222
672231046314901505,1895,1058
672239279297454080,922,335
672245253877968896,708,163
672248013293752320,1782,635
672254177670729728,1472,776
672256522047614977,2903,1637
672264251789176834,1181,358
672267570918129665,1542,641
672272411274932228,6663,3562
672466075045466113,1399,568
672475084225949696,1483,734
672481316919734272,736,128
672482722825261057,1171,637
672488522314567680,1147,459
672523490734551040,664,180
672538107540070400,1059,391
672591271085670400,749,195
672591762242805761,978,348
672594978741354496,1367,635
672604026190569472,1147,427
672609152938721280,1151,407
672614745925664768,1261,615
672622327801233409,1330,518
672640509974827008,1002,339
672828477930868736,1298,511
672834301050937345,1356,600
672877615439593473,1059,389
672884426393653248,1606,869
672898206762672129,918,442
672902681409806336,1412,530
672964561327235073,1468,676
672968025906282496,1356,574
672970152493887488,987,374
672975131468300288,1740,965
672980819271634944,1869,1048
672984142909456390,1290,569
672988786805112832,1007,304
672995267319328768,987,312
672997845381865473,2027,758
673148804208660480,1761,662
673213039743795200,2330,891
673240798075449344,1464,764
673270968295534593,1098,390
673295268553605120,7770,3340
673317986296586240,895,279
673320132811366400,13964,8389
673342308415348736,1309,623
673343217010679808,1003,281
673345638550134785,2609,1356
673350198937153538,757,223
673352124999274496,1708,570
673355879178194945,1539,619
673359818736984064,1504,704
673363615379013632,1053,326
673576835670777856,1425,592
673580926094458881,856,281
673583129559498752,1230,390
673612854080196609,1643,766
673636718965334016,1156,390
673656262056419329,740,256
673662677122719744,1298,382
673680198160809984,1418,492
673686845050527744,1497,459
673688752737402881,1306,522
673689733134946305,1800,683
673697980713705472,3932,2077
673700254269775872,1487,601
673705679337693185,1299,419
673707060090052608,1133,414
673708611235921920,1111,307
673709992831262724,880,289
673711475735838725,1073,315
673715861853720576,3680,2217
673716320723169284,3185,808
673887867907739649,966,265
673906403526995968,3308,1725
673919437611909120,1209,386
673956914389192708,2022,1023
674008982932058114,1240,373
674014384960745472,1625,687
674019345211760640,1174,319
674024893172875264,1859,1301
674036086168010753,873,230
674038233588723717,1137,433
674042553264685056,745,135
674045139690631169,1466,677
674051556661161984,1502,509
674053186244734976,3452,1383
674063288070742018,6603,2364
674075285688614912,1014,304
674082852460433408,777,180
674255168825880576,1519,594
674262580978937856,1346,486
674265582246694913,1700,896
674269164442398721,928,241
674271431610523648,1626,768
674291837063053312,15345,6282
674307341513269249,11774,7367
674318007229923329,1467,549
674330906434379776,581,77
674372068062928900,879,328
674394782723014656,1555,608
